descripcion;mes;sum
ACELGA;1;0
ACELGA;2;1
ACELGA;3;10
ACELGA;4;1
ACELGA;5;0
ACELGA;6;1
ACELGA;7;0
ACELGA;8;0
ACELGA;9;0
ACELGA;10;0
ACELGA;11;2
ACELGA;12;7
AJI AMARILLO SECO;1;1596
AJI AMARILLO SECO;2;2041
AJI AMARILLO SECO;3;2018
AJI AMARILLO SECO;4;1932
AJI AMARILLO SECO;5;1897
AJI AMARILLO SECO;6;1697
AJI AMARILLO SECO;7;1350
AJI AMARILLO SECO;8;1783
AJI AMARILLO SECO;9;1481
AJI AMARILLO SECO;10;1401
AJI AMARILLO SECO;11;1396
AJI AMARILLO SECO;12;1214
AJI ESCABECHE FRESCO/ZANAHOR/LISO;1;11505
AJI ESCABECHE FRESCO/ZANAHOR/LISO;2;10715
AJI ESCABECHE FRESCO/ZANAHOR/LISO;3;13158
AJI ESCABECHE FRESCO/ZANAHOR/LISO;4;9176
AJI ESCABECHE FRESCO/ZANAHOR/LISO;5;9540
AJI ESCABECHE FRESCO/ZANAHOR/LISO;6;8788
AJI ESCABECHE FRESCO/ZANAHOR/LISO;7;9473
AJI ESCABECHE FRESCO/ZANAHOR/LISO;8;9108
AJI ESCABECHE FRESCO/ZANAHOR/LISO;9;8989
AJI ESCABECHE FRESCO/ZANAHOR/LISO;10;8866
AJI ESCABECHE FRESCO/ZANAHOR/LISO;11;8340
AJI ESCABECHE FRESCO/ZANAHOR/LISO;12;7080
AJI LIMO (COSTA/SELVA);1;1
AJI LIMO (COSTA/SELVA);2;10
AJI LIMO (COSTA/SELVA);3;4
AJI LIMO (COSTA/SELVA);4;3
AJI LIMO (COSTA/SELVA);5;3
AJI LIMO (COSTA/SELVA);6;4
AJI LIMO (COSTA/SELVA);7;2
AJI LIMO (COSTA/SELVA);8;2
AJI LIMO (COSTA/SELVA);9;2
AJI LIMO (COSTA/SELVA);10;0
AJI LIMO (COSTA/SELVA);11;1
AJI LIMO (COSTA/SELVA);12;1
AJI MIRASOL FRESCO;1;16
AJI MIRASOL FRESCO;2;0
AJI MIRASOL FRESCO;3;1
AJI MIRASOL FRESCO;4;9
AJI MIRASOL FRESCO;5;0
AJI MIRASOL FRESCO;6;0
AJI MIRASOL FRESCO;7;4
AJI MIRASOL FRESCO;8;0
AJI MIRASOL FRESCO;9;0
AJI MIRASOL FRESCO;10;0
AJI MIRASOL FRESCO;11;0
AJI MIRASOL FRESCO;12;0
AJI MIRASOL SECO;1;0
AJI MIRASOL SECO;2;4
AJI MIRASOL SECO;3;2
AJI MIRASOL SECO;4;2
AJI MIRASOL SECO;5;0
AJI MIRASOL SECO;6;2
AJI MIRASOL SECO;7;0
AJI MIRASOL SECO;8;0
AJI MIRASOL SECO;9;9
AJI MIRASOL SECO;10;0
AJI MIRASOL SECO;11;1
AJI MIRASOL SECO;12;0
AJI MONO/PINCHITO DE MONO;1;15
AJI MONO/PINCHITO DE MONO;2;0
AJI MONO/PINCHITO DE MONO;3;13
AJI MONO/PINCHITO DE MONO;4;9
AJI MONO/PINCHITO DE MONO;5;8
AJI MONO/PINCHITO DE MONO;6;11
AJI MONO/PINCHITO DE MONO;7;29
AJI MONO/PINCHITO DE MONO;8;7
AJI MONO/PINCHITO DE MONO;9;1
AJI MONO/PINCHITO DE MONO;10;10
AJI MONO/PINCHITO DE MONO;11;10
AJI MONO/PINCHITO DE MONO;12;0
AJI MONTA¿A/CHANCHAMAYO(COSTA/SELVA);1;174
AJI MONTA¿A/CHANCHAMAYO(COSTA/SELVA);2;168
AJI MONTA¿A/CHANCHAMAYO(COSTA/SELVA);3;192
AJI MONTA¿A/CHANCHAMAYO(COSTA/SELVA);4;194
AJI MONTA¿A/CHANCHAMAYO(COSTA/SELVA);5;189
AJI MONTA¿A/CHANCHAMAYO(COSTA/SELVA);6;168
AJI MONTA¿A/CHANCHAMAYO(COSTA/SELVA);7;156
AJI MONTA¿A/CHANCHAMAYO(COSTA/SELVA);8;136
AJI MONTA¿A/CHANCHAMAYO(COSTA/SELVA);9;165
AJI MONTA¿A/CHANCHAMAYO(COSTA/SELVA);10;190
AJI MONTA¿A/CHANCHAMAYO(COSTA/SELVA);11;221
AJI MONTA¿A/CHANCHAMAYO(COSTA/SELVA);12;139
AJI MONTAÑA/CHANCHAMAYO(COSTA/SELVA);1;64
AJI MONTAÑA/CHANCHAMAYO(COSTA/SELVA);2;61
AJI MONTAÑA/CHANCHAMAYO(COSTA/SELVA);3;46
AJI MONTAÑA/CHANCHAMAYO(COSTA/SELVA);4;
AJI MONTAÑA/CHANCHAMAYO(COSTA/SELVA);5;
AJI MONTAÑA/CHANCHAMAYO(COSTA/SELVA);6;
AJI MONTAÑA/CHANCHAMAYO(COSTA/SELVA);7;
AJI MONTAÑA/CHANCHAMAYO(COSTA/SELVA);8;
AJI MONTAÑA/CHANCHAMAYO(COSTA/SELVA);9;
AJI MONTAÑA/CHANCHAMAYO(COSTA/SELVA);10;
AJI MONTAÑA/CHANCHAMAYO(COSTA/SELVA);11;
